僲	亻 覀 舛
𧨰	言 制 
𧨱	言 底 
𧨲	尚 言 
𧨳	言 卓 
𧨴	言 事 
𧨵	言 厒 
𧨷	言 肯 
𧨸	言 典 
𧨹	言 彔 
𧨾	言 罙 
𧨿	言 工 白 
𧩅	言 广 七 夂 
𧩒	言 彡 母 
𧩓	言 忽 
𧩚	言 大 氺 
𧩝	言 龵 月 
𧩣	言 𡿺 
𧩦	言 亟 
𧩧	言 度 
𧩨	言 侯 
𧩪	言 怱 
𧩫	言 奓 
𧩬	言 頁 
𧩮	言 叜 
𧩰	言 穴 之 
𧩱	言 屏 
𧩲	言 剌 
𧩴	言 尼 木 
𧩶	言 契 
𧩸	言 弇 
𧩹	言 施 
𧩼	言 致 
𧪅	言 怒 
𧪇	言 耷 
𧪓	言 禺 
𧪕	言 叚 
𧪘	言 差 
𧪚	言 豈 
𧪝	言 乘 
𧪞	言 盍 
𧪠	言 疾 
𧪡	言 耆 
𧪢	言 氣 
𧪣	言 烝 
𧪨	言 馬 
𧪫	言 𣬉 
𧪮	言 荂 
𧪯	言 𠳋 
𧪷	𠀠 言 斤 
𧪹	言 宰 
𧫊	彧 言 
𧫑	言 笈 
𧫒	言 𡨧 
𧫓	言 鹵 
𧫕	言 祭 
𧫗	言 爽 
𧫛	言 羕 
𧫜	既 言 
𧫝	言 𡕩 
𧫞	言 屚 
𧫠	言 基 
𧫡	言 窒 
𧫢	言 望 
𧫤	言 畢 
𧫥	言 庵 
𧫦	殹 言 
𧫧	言 酓 
𧫹	詹 令 
𧫾	言 就 
𧫿	言 尋 
𧬁	言 臯 
𧬂	言 賀 
𧬅	言 屠 
𧬆	言 善 
𧬇	言 壹 
𧬈	言 翕 
𧬊	斯 言 
𧬋	言 發 
𧬌	言 喦 
𧬏	言 莽 
𧬕	言 辜 
𧬞	言 雲 
𧬤	言 童 
𧬦	諍 爭 
𧬧	言 葵 
𧬨	言 歲 
𧬩	言 䪞 
𧬫	言 煎 
𧬬	言 業 
𧬮	言 𥈀 
𧬰	鄉 言 
𧬱	言 閜 
𧬻	言 達 
𧭃	㚘 詹 
𧭇	言 白 穴 方 
𧭈	言 寧 
𧭊	言 蒙 
𧭌	言 㼲 
𧭍	言 聚 
𧭎	言 僕 
𧭏	言 臺 
𧭓	言 熒 
𧭔	舟 羽 𠆢 言 
𧭚	言 説 
𧭜	言 慮 
𧭝	言 蔡 
𧭞	言 巤 
𧭟	言 遲 
𧭠	言 寫 
𧭤	言 暴 
𧭥	言 樂 
𧭦	言 敻 
𧭪	言 𠍳 
𧭭	𨿳 言 
𧭳	𠾳 言 
𧭵	言 魅 
𧭸	言 韰 
𧭹	頻 言 
𧭻	諴 言 
𧭼	言 親 
𧭽	言 艹 訾 
𧭾	言 䝿 
𧮆	言 嬰 
𧮇	言 邁 
𧮈	言 蹇 
𧮍	言 闇 
𧮑	言 闒 
𧮒	言 醫 
𧮓	言 魋 
𧮗	譶 心 
𧮙	𣫞 言 
𧮚	言 蠆 
𧮛	言 離 
𧮝	瀕 言 
𧮞	言 矍 
𧮠	言 黁 
𧮡	言 竇 
𧮤	言 覽 
𧮫	𠆢 𠆢 口 
𧮬	谷 卂 
𧮭	谷 丸 
𧮮	谷 千 
𧮯	厷 谷 
𧮰	谷 今 
𧮱	谷 分 
𧮳	谷 甘 
𧮴	谷 古 
𧮵	谷 合 
𧮶	谷 后 
𧮺	谷 戔 
𧮻	谷 周 
𧮼	㐫 冂 谷 
𧮽	谷 虎 
𧮿	谷 舍 
𧯀	谷 英 
𧯃	谷 咸 
𧯆	谷 害 
𧯈	谷 𡭴 
𧯉	容 谷 
𧯊	谷 𡭽 
𧯋	谷 閕 
𧯌	谷 臯 
𧯍	谷 勞 
𧯏	厤 谷 
𧯒	谷 曾 
𧯖	谷 𥈠 
𧯗	谷 雨 奚 
𧯘	谷 闞 
𧯞	豆 斤 
𧯠	豆 句 
𧯡	夗 豆 
𧯤	豆 乍 
𧯥	𢦏 豆 
𧯦	龹 豆 
𧯨	豆 多 
𧯩	豆 足 
𧯫	登 丁 
𧯯	豆 其 
𧯰	豆 臽 
𧯱	豆 或 
𧯲	豆 來 
𧯷	艹 氶 豆 
𧯺	交 豈 
𧯼	壴 周 
𧯾	壴 東 
𧰂	豆 𦐇 
𧰃	豆 婁 
𧰄	享 豈 
𧰇	壴 臾 
𧰈	務 豆 
𧰊	壴 真 
𧰒	壴 國 
𧰙	豈 幾 
𧰠	壴 巤 
𧰣	壴 薰 
𧰩	豕 丁 
𧰪	干 豕 
𧰫	豕 久 
𧰯	豕 厷 
𧰰	豕 尤 
𧰱	豕 刀 又 
𧰲	彑 豕 
𧰴	豕 勾 
𧰵	豖 殳 
𧰷	豕 母 
𧰸	豕 皮 
𧰹	豕 出 
𧰻	豕 令 
𧰿	豕 艾 
𧱀	豕 先 
𧱄	吅 豕 
𧱅	豕 夷 
𧱆	豕 𠕋 
𧱏	辛 豕 
𧱐	豕 孝 
𧱒	豕 巵 
𧱓	豕 尨 
𧱘	豙 介 
𧱜	豕 侖 
𧱝	叕 豕 
𧱡	豕 空 
𧱢	豕 尸 令 
𧱩	豕 便 
𧱪	豕 奏 
𧱬	豕 俞 
𧱰	豕 矛 攴 
𧱲	豕 氣 
𧱳	豙 ⾆ 
𧱴	豕 冥 
𧱵	豕 唐 
𧱹	豕 尃 
𧱻	豕 覓 
𧱼	豕 㒼 
𧱾	豩 犬 
𧲀	豕 牽 
𧲂	豕 粦 
𧲃	豕 閔 
𧲄	豕 爲 
𧲅	豕 曾 
𧲇	嗀 豕 
𧲈	豕 遀 
𧲋	豕 豦 
𧲌	豕 箑 
𧲍	豕 夢 
𧲕	豕 母 婁 
𧲘	豕 戲 
𧲙	豕 霝 
𧲜	辟 象 
𧲝	䘙 豚 
𧲡	豸 力 
𧲢	豸 乇 
𧲤	豸 牛 
𧲥	豸 日 
𧲦	豸 元 
𧲧	豸 巴 
𧲨	豸 开 
𧲭	豸 左 
𧲮	豸 乍 
𧲯	豸 犮 
𧲰	豸 丘 
𧲱	豸 央 
𧲴	豸 冬 
𧲵	豸 圣 
𧲺	豸 平 
𧲻	豸 只 
𧲾	豸 𠕋 
𧲿	豸 后 
𧳀	豸 𭗼 
𧳁	豸 多 
𧳂	豸 伏 
𧳄	豸 囟 
𧳅	豸 吏 
𧳆	豸 同 
𧳉	豸 并 
𧳌	豸 禿 
𧳍	豸 肖 
𧳎	豸 吾 
𧳏	豸 否 
𧳐	豸 希 
𧳒	豸 貝 
𧳕	豸 来 
𧳙	豸 隶 
𧳚	豸 卒 
𧳛	豸 妾 
𧳜	豸 周 
𧳝	豸 卓 
𧳞	豸 隹 
𧳟	豸 來 
𧳠	豸 畀 
𧳣	豸 東 
𧳦	豸 𡿺 
𧳧	豸 皆 
𧳨	豸 柔 
𧳩	豸 彖 
𧳪	豸 胃 
𧳫	豸 酋 
𧳬	豸 眉 
𧳭	豸 爰 
𧳮	豸 重 
𧳶	豸 叟 
𧳸	豸 骨 
𧳹	豸 芻 
𧳺	豸 𰙩 
𧳻	豸 爪 虫 
𧳼	豸 口 弟 
𧳿	豸 重 ⺃ 
𧴁	豸 离 
𧴂	豸 逢 
𧴃	豸 斬 
𧴄	豸 庸 
𧴅	豸 爽 
𧴉	豸 晜 
𧴊	豸 患 
𧴎	豸 歮 
𧴓	豸 𦓔 
𧴕	豸 惢 
𧴖	豸 歲 
𧴗	豸 雍 
𧴙	豸 歰 
𧴚	豸 會 
𧴠	豸 歷 
𧴢	豸 䀠 冖 且 
𧴣	豸 嚴 
𧴤	貝 卜 
𧴥	力 貝 
𧴪	小 貝 
𧴬	貝 刃 
𧴭	彡 貝 
𧴲	巛 貝 
𧴸	貝 冘 
𧴺	丿 幺 貝 
𧵃	貝 手 
𧵈	貝 勾 
𧵊	貝 甘 
𧵋	貝 示 
𧵌	貝 央 
𧵎	古 貝 
𧵑	貝 古 
𧵛	貝 可 
𧵞	口 九 貝 
𧵠	出 貝 
𧵡	貝 册 
𧵢	貝 包 
𧵣	貝 旬 
𧵤	貝 守 
𧵧	貝 𠫤 
𧵨	貝 安 
𧵬	貝 𠂢 
𧵭	幵 貝 
𧵱	厽 貝 
𧵳	貝 干 口 
𧵴	貝 宇 
𧵻	貝 式 
𧵼	至 貝 
𧶄	貝 争 
𧶆	貝 吝 
𧶇	貝 折 
𧶊	員 云 
𧶍	貝 𢦙 
𧶔	貝 呈 
𧶕	貝 我 
𧶖	貝 希 
𧶙	北 負 
𧶠	士 四 貝 
𧶡	宓 貝 
𧶲	貝 耑 
𧶵	貝 臿 
𧶶	買 反 
𧶷	正 責 
𧶸	貝 貞 
𧶺	貝 亭 
𧷅	𠕀 貴 
𧷋	要 貝 
𧷎	㕢 土 
𧷐	分 賁 
𧷑	蚔 貝 
𧷒	貝 真 
𧷛	貝 鬼 
𧷟	分 賓 
𧷡	貝 婁 
𧷥	䟝 貝 
𧷦	貝 密 
𧷱	貢 𱣀 
𧷳	貝 累 
𧷴	𠊰 貝 
𧷶	貝 𦍌 古 
𧷾	貝 矞 
𧷿	貝 都 
𧸂	貝 敢 
𧸅	貝 业 㡀 
𧸈	必 賓 
𧸖	貝 廉 
𧸗	貝 歲 
𧸘	貝 僉 
𧸙	貝 遂 
𧸦	貝 監 
𧸧	與 貝 
𧸨	貝 白 穴 方 
𧸪	貝 𠪨 
𧸫	員 袞 
𧸮	貝 微 
𧸲	貝 質 
𧸽	貝 遺 
𧸾	虎 武 貝 
𧸿	貝 寫 
𧹈	贔 大 
𧹊	貝 龠 
𧹌	壹 資 
𧹐	貝 羅 
𧹑	贝 为 
𧹓	贝 呈 
𧹕	贝 居 
𧹛	赤 支 
𧹞	赤 皮 
𧹣	赤 含 
𧹨	昔 赤 
𧹩	赤 東 
𧹬	赤 垔 
𧹭	赤 畐 
𧹲	𣪊 赤 
𧹳	𠦝 入 赤 
𧹴	赤 畜 
𧹶	赤 累 
𧹺	赤 毳 
𧹽	赤 㬎 
𧹾	疑 赤 
𧺅	書 覀 赤 
𧺆	夭 龰 
𧺍	走 八 
𧺎	走 九 
𧺏	走 也 
𧺐	走 了 一 
𧺒	走 下 
𧺜	走 女 
𧺝	走 日 
𧺟	走 冘 
𧺠	走 止 
𧺡	走 巿 
𧺢	走 殳 
𧺣	走 从 
𧺤	走 勼 
𧺧	走 廿 
𧺨	走 心 
𧺫	走 尺 
𧺰	走 歹 
𧺲	走 比 
𧺴	走 午 
𧺶	走 术 
𧺷	走 去 
𧺸	走 冋 
𧺹	走 巨 
𧺺	走 犮 
𧺼	走 此 
𧺽	走 㠯 
𧺾	走 半 
𧺿	走 世 
𧻁	走 丘 
𧻃	走 目 
𧻍	走 只 
𧻒	走 劦 
𧻓	走 并 
𧻔	走 匡 
𧻕	走 朿 
𧻖	走 舟 
𧻗	走 戌 
𧻘	走 㓞 
𧻙	走 百 
𧻚	走 亘 
𧻜	走 危 
𧻝	走 𠂉 支 
𧻧	走 𢇛 
𧻰	走 告 
𧻱	走 求 
𧻲	走 里 
𧻳	走 否 
𧻴	走 良 
𧻵	走 夾 
𧻶	走 希 
𧻷	走 甫 
𧻸	走 折 
𧻹	走 甬 
𧻺	走 狂 
𧻼	走 圼 
𧻿	走 豆 
𧼊	走 見 
𧼎	走 奄 
𧼏	走 弦 
𧼐	走 囷 
𧼑	走 或 
𧼒	走 臤 
𧼓	走 東 
𧼔	走 夌 
𧼕	走 刺 
𧼖	林 走 
𧼗	走 岪 
𧼘	走 奇 
𧼙	走 豖 
𧼜	走 尸 八 夕 
𧼟	走 陌 
𧼠	走 卑 
𧼤	走 到 
𧼨	走 曷 
𧼩	走 重 
𧼪	走 契 
𧼫	走 胃 
𧼭	走 叜 
𧼯	走 俞 
𧼰	走 臿 
𧼱	走 复 
𧼳	走 广 屰 
𧼴	走 耑 
𧼵	走 矦 
𧼶	走 𠚏 
𧽅	走 枼 
𧽆	走 厘 
𧽉	走 晏 
𧽊	走 豈 
𧽋	走 烏 
𧽌	走 骨 
𧽍	走 真 
𧽎	走 䍃 
𧽏	走 叟 
𧽐	走 虔 
𧽑	走 疾 
𧽒	走 臭 
𧽓	走 欯 
𧽔	走 宀 石 又 
𧽖	走 留 
𧽞	走 焉 
𧽟	走 雀 
𧽠	走 崔 
𧽢	走 專 
𧽣	走 章 
𧽤	走 票 
𧽥	走 鹿 
𧽦	走 啇 
𧽧	走 崇 
𧽨	走 覓 
𧽩	將 走 
𧽯	走 斬 
𧽲	走 累 
𧽶	走 爲 
𧽷	走 肅 
𧽸	走 厥 
𧽻	走 矞 
𧽼	走 覃 
𧽽	走 尞 
𧽾	走 散 
𧽿	走 童 
𧾁	走 䨿 
𧾂	走 戟 
𧾆	走 萌 
𧾇	走 覀 大 丶 龴 
𧾊	走 登 
𧾍	走 亶 
𧾎	走 睘 
𧾏	走 僉 
𧾐	走 敫 
𧾑	走 辟 
𧾔	走 咸 心 
𧾚	走 與 
𧾝	走 㕡 
𧾠	走 穴 余 又 
𧾡	走 廛 
𧾢	走 𢧵 
𧾣	走 敻 
𧾤	走 憂 
𧾥	走 賣 
𧾧	走 慮 
𧾨	走 憲 
𧾩	走 叡 
𧾫	走 自 穴 冋 
𧾮	走 霝 
𧾯	走 薊 
𧾰	走 翼 
𧾱	走 瞿 
𧾲	走 藍 
𧾳	走 豐 
𧾵	走 矍 
𧾶	走 䖝 䖝 䖝 
𧾻	𧾷 丩 
𧾽	𧾷 十 
𧾾	𧾷 几 
𧿅	𧾷 卂 
𧿆	𧾷 已 
𧿈	𧾷 广 
𧿉	𧾷 亐 
𧿋	𧾷 一 丩 
𧿌	𧾷 乇 
𧿏	𧾷 𭅲 
𧿒	𧾷 冘 
𧿓	𧾷 㸦 
𧿔	𧾷 丑 
𧿖	𧾷 凶 
𧿘	𧾷 升 
𧿙	𧾷 元 
𧿚	𧾷 分 
𧿝	𧾷 兮 
𧿞	𧾷 欠 
𧿠	𧾷 𢆰 
𧿥	𧾷 比 
𧿧	𧾷 斤 
𧿨	𧾷 反 
𧿩	𧾷 介 
𧿫	𧾷 斗 
𧿲	𧾷 𠂔 
𧿳	𧾷 弗 
𧿴	𧾷 末 
𧿵	𧾷 甲 
𧿶	𧾷 㐌 
𧿷	𧾷 玉 
𧿺	𧾷 出 
𧿻	𧾷 尻 
𧿼	𧾷 瓜 
𧿽	𧾷 叵 
𨀀	𧾷 尒 
𨀄	𧾷 瓦 
𨀅	𧾷 冉 
𨀕	𧾷 匡 
𨀖	𧾷 亥 
𨀘	𧾷 羊 
𨀙	𧾷 吉 
𨀛	𧾷 存 
𨀜	𧾷 同 
𨀝	𧾷 叒 
𨀟	𧾷 㡯 
𨀠	𧾷 𢇛 
𨀤	𧾷 耒 
𨀥	𧾷 次 
𨀧	𧾷 丞 
𨀨	𧾷 𡿪 
𨀫	𧾷 𠂉 亢 
𨀬	𧾷 在 
𨀮	𧾷 䏍 
𨀯	𧾷 邛 
𨀳	𧾷 伐 
𨀴	𧾷 旬 
𨀵	𧾷 庄 
𨀶	亦 足 
𨀸	𧾷 宅 
𨁀	攸 足 
𨁁	𧾷 𭻾 
𨁂	𧾷 夾 
𨁃	𧾷 弟 
𨁄	𧾷 旱 
𨁅	𧾷 辛 
𨁆	𧾷 延 
𨁇	𧾷 吞 
𨁈	𧾷 更 
𨁉	𧾷 困 
𨁊	𧾷 岑 
𨁋	𧾷 豆 
𨁌	𧾷 那 
𨁍	𧾷 見 
𨁎	𧾷 呈 
𨁏	𧾷 甫 
𨁐	𧾷 弃 
𨁑	𧾷 兌 
𨁒	𧾷 告 
𨁗	𧾷 廴 壬 
𨁟	𧾷 我 
𨁠	𧾷 𡉼 
𨁡	𧾷 妥 
𨁴	𧾷 间 
𨁶	𧾷 亞 
𨁷	𧾷 直 
𨁸	𧾷 戾 
𨁹	𧾷 炎 
𨁺	𧾷 具 
𨁽	𧾷 㝵 
𨁿	𧾷 豖 
𨂀	𧾷 阻 
𨂁	𧾷 奄 
𨂂	𧾷 炙 
𨂃	𧾷 朋 
𨂅	𧾷 㡀 
𨂇	𧾷 戶 止 
𨂊	𧾷 周 
𨂋	𧾷 斉 
𨂐	𧾷 來 
𨂒	𧾷 夜 
𨂜	𧾷 虎 
𨂝	並 足 
𨂞	足 並 
𨂟	𧾷 𠂉 𡈼 儿 
𨂠	𧾷 頁 
𨂡	𧾷 奏 
𨂢	即 足 
𨂣	敄 足 
𨂦	𧾷 彖 
𨂩	𧾷 癹 
𨂪	𧾷 彥 
𨂫	𧾷 㡿 
𨂭	𧾷 毒 
𨂯	𧾷 便 
𨂰	𧾷 契 
𨂱	𧾷 軍 
𨂲	𧾷 屏 
𨂴	𧾷 怱 
𨂵	𧾷 臿 
𨂺	𧾷 弯 
𨂽	𧾷 石 水 
𨂿	𧾷 歪 
𨃃	𧾷 曷 
𨃄	𧾷 畏 
𨃅	𧾷 拜 
𨃇	𧾷 姜 
𨃉	𧾷 待 
𨃓	𧾷 茶 
𨃕	𧾷 畜 
𨃖	𧾷 荂 
𨃗	朕 足 
𨃘	𧾷 芻 
𨃙	𧾷 栗 
𨃚	𧾷 荅 
𨃛	𧾷 ⻖ 辛 
𨃞	般 足 
𨃟	𧾷 般 
𨃣	𧾷 蚤 
𨃤	𧾷 高 
𨃭	𧾷 栽 
𨃯	𧾷 時 
𨃰	𧾷 兼 
𨃲	書 足 
𨃳	𧾷 能 
𨄄	𧾷 恋 
𨄅	𧾷 區 
𨄇	𧾷 龹 氺 
𨄈	𧾷 梁 
𨄉	𧾷 產 
𨄊	𧾷 祭 
𨄋	𧾷 屚 
𨄌	𧾷 習 
𨄍	𧾷 崔 
𨄐	𧾷 紫 
𨄓	𧾷 巢 
𨄔	𧾷 專 
𨄕	𧾷 族 
𨄗	𧾷 康 
𨄚	將 足 
𨄮	𧾷 率 
𨄯	尉 足 
𨄰	𧾷 張 
𨄱	𧾷 累 
𨅅	𧾷 止 技 
𨅊	𧾷 𰕎 
𨅋	𧾷 肅 
𨅍	𧾷 間 
𨅎	𧾷 最 
𨅏	𧾷 嵐 
𨅑	𧾷 須 
𨅒	𧾷 尌 
𨅓	𧾷 奢 
𨅔	𧾷 朁 
𨅗	𧾷 筆 
𨅘	彭 足 
𨅣	𧾷 㙓 
𨅤	𧾷 朞 
𨅪	牙 牙 足 牙 
𨅬	𧾷 阑 
𨅭	𧾷 覃 
𨆁	𧾷 亶 
𨆂	𧾷 䪞 
𨆃	𧾷 禁 
𨆄	𧾷 楚 
𨆅	𧾷 睪 
𨆇	𧾷 閘 
𨆈	𧾷 睘 
𨆉	𧾷 當 
𨆊	鼓 足 
𨆋	𧾷 義 
𨆌	𧾷 煩 
𨆍	𧾷 葛 
𨆎	𧾷 賊 
𨆏	𧾷 遂 
𨆓	𧾷 禽 
𨆙	𧾷 瑟 
𨆧	輊 足 
𨆨	𧾷 𠃊 貴 
𨆰	𧾷 㬎 
𨆱	𧾷 凴 
𨆲	𧾷 㥯 
𨆵	𧾷 頗 
𨆽	𧾷 麽 
𨆾	𧾷 察 
𨇁	𧾷 廣 
𨇃	𧾷 賛 
𨇄	𧾷 憂 
𨇅	𧾷 暴 
𨇆	𧾷 厲 
𨇍	𧾷 輦 
𨇎	𨂷 全 
𨇕	𧾷 彳 吞 𠕁 
𨇖	𧾷 盧 
𨇗	𧾷 歷 
𨇘	龍 足 
𨇙	𧾷 衞 
𨇝	𧾷 閻 
𨇤	𧾷 鮮 
𨇦	𧾷 韱 
𨇨	𧾷 薛 
𨇩	𧾷 毚 
𨇯	𧾷 雙 
𨇻	𧾷 靡 
𨇼	𧾷 䜌 
𨇽	𧾷 羅 
𨈀	𧾷 顛 
𨈆	𧾷 蘭 
𨈇	𧾷 覽 
𨈈	𧾷 疊 
𨈊	𧾷 彎 
𨈋	𧾷 籥 
𨈌	𧾷 戀 
𨈎	𧾷 鸞 
𨈕	身 ⻏ 
𨈖	身 口 
𨈗	口 身 
𨈘	身 少 
𨈙	身 攴 
𨈚	身 比 
𨈥	身 毛 
𨈧	身 引 
𨈩	身 犮 
𨈫	身 主 
𨈮	身 申 
𨈶	身 母 
𨈷	身 它 
𨈹	身 同 
𨈺	身 老 
𨉁	身 光 
𨉃	任 身 
𨉅	身 亼 丌 
𨉋	身 兌 
𨉖	門 身 
𨉗	身 宝 
𨉚	身 奄 
𨉜	身 周 
𨉝	身 宛 
𨉡	身 垂 
𨉢	身 重 
𨉣	身 叚 
𨉤	身 皇 
𨉥	身 面 
𨉩	身 春 
𨉪	身 曷 
𨉫	身 勹 吕 
𨉬	身 亭 
𨉭	身 眉 
𨉱	身 弱 
𨉴	身 茸 
𨉷	身 容 
𨉸	身 馬 
𨉹	身 國 
𨉽	身 囯 王 
𨉾	身 𥬥 
𨊅	身 堯 
𨊈	身 覃 
𨊉	身 毳 
𨊔	身 監 
𨊘	軀 心 
𨊚	身 磊 
𨊛	身 歷 
𨊝	身 蹔 
𨊞	身 聶 
𨊟	䜌 身 
𨊡	車 丁 
𨊧	車 工 
𨊰	車 乞 
𨊱	車 于 
𨊳	車 心 
𨊸	車 月 
𨊹	車 巴 
𨊺	車 止 
𨊻	車 开 
𨊼	車 尹 
𨊿	車 㕛 
𨋀	車 丑 
𨋈	車 水 
𨋉	水 車 
𨋐	車 瓦 
𨋑	工 几 車 
𨋒	車 弁 
𨋔	車 玉 
𨋕	車 卬 
𨋖	車 卯 
𨋗	車 尼 
𨋘	車 乍 
𨋙	車 申 
𨋚	車 㞋 
𨋛	車 𡯄 
𨋝	車 功 
𨋞	車 布 
𨋟	禾 車 
𨋠	車 宂 
𨋡	出 車 
𨋥	車 弗 
𨋦	車 𠬦 
𨋧	白 車 
𨋨	車 艮 
𨋩	車 伏 
𨋫	車 兆 
𨋬	丞 車 
𨋮	車 旬 
𨋯	車 曳 
𨋰	車 次 
𨋲	車 冰 
𨋷	車 工 工 
𨋺	臼 車 
𨋽	車 羊 
𨋾	車 羽 
𨌁	車 旨 
𨌄	壯 車 
𨌆	車 宏 
𨌈	車 身 
𨌌	車 巵 
𨌍	車 辛 
𨌎	車 余 
𨌑	車 辰 
𨌔	車 兌 
𨌘	車 夋 
𨌝	車 𠆢 升 丶 
𨌠	車 彔 
𨌢	車 爭 
𨌣	車 芮 
𨌤	亠 舛 車 
𨌥	玨 車 
𨌧	車 奄 
𨌨	車 匋 
𨌩	車 尚 
𨌫	車 卷 
𨌬	車 卓 
𨌭	車 沓 
𨌮	車 底 
𨌲	車 昏 
𨌳	車 肯 
𨌴	車 隹 
𨌶	車 盲 
𨍅	車 𦬣 
𨍆	車 昌 
𨍇	車 客 
𨍈	車 㚇 
𨍉	車 怱 
𨍊	車 秋 
𨍎	敄 車 
𨍏	車 度 
𨍐	車 胥 
𨍑	車 音 
𨍛	車 毒 
𨍜	車 甚 
𨍞	車 英 
𨍢	車 咨 
𨍧	車 皇 
𨍩	車 旁 
𨍫	車 栗 
𨍭	車 尃 
𨍮	車 鬲 
𨍯	日 輂 
𨍰	車 盍 
𨍲	車 圂 
𨍳	車 䍃 
𨍴	車 唐 
𨍶	𤇾 車 
𨍷	車 茸 
𨍸	車 留 
𨍹	車 鬼 
𨍺	車 尸 丬 支 
𨍽	車 衮 
𨎉	車 𠂆 疌 
𨎋	車 堂 
𨎌	執 車 
𨎍	車 康 
𨎔	車 𦰩 
𨎖	堂 車 
𨎗	車 𢒗 
𨎛	車 梁 
𨎝	車 曹 
𨎡	車 亠 尸 伐 
𨎢	車 恿 
𨎤	車 登 
𨎦	車 臯 
𨎧	車 彭 
𨎩	車 黃 
𨎪	車 𦓔 
𨎫	車 閒 
𨎬	車 堯 
𨎭	車 袲 
𨎮	車 菆 
𨎳	車 𥭗 
𨎴	車 當 
𨎶	車 豦 
𨎷	車 廉 
𨎸	車 楘 
𨎹	車 稟 
𨎾	車 𰀉 一 貝 
𨏂	車 運 
𨏆	䡛 光 
𨏈	車 㥯 
𨏉	𮅕 車 
𨏒	車 磊 
𨏔	車 賣 
𨏚	車 合 革 
𨏛	車 𮖠 
𨏞	頻 車 
𨏠	車 龍 
𨏤	車 𠆢 爾 
𨏥	車 憲 
𨏨	車 雨 並 
𨏩	𣎆 連 
𨏪	車 韱 
𨏫	車 薄 
𨏬	䡛 鬲 
𨏳	車 巂 
𨏴	車 聶 
𨏵	車 爫 尸 止 几 巳 夂 
𨏶	䜌 車 
𨏹	車 矍 
𨏺	𨏖 舟 
𨐁	車 疊 
𨐃	鑫 車 
𨐅	车 殳 
𨐆	车 开 
𨐇	车 龙 
𨐉	车 菆 
𨐊	车 憲 
𨐋	亠 𢆉 
𨐍	彡 辛 
𨐑	辛 允 
𨐔	多 辛 
𨐕	𢑑 辛 
𨐖	杀 辛 
𨐛	尿 辛 
𨐡	辛 苦 
𨐣	辛 𭩢 
𨐥	辛 革 
𨐦	辛 風 
𨐨	辟 井 
𨐩	辛 兼 
𨐰	辛 分 辛 
𨐱	辛 月 辛 
𨐴	辟 甲 
𨐶	辛 畫 
𨐾	⺄ 辯 
𨑊	多 農 
𨑌	畾 辰 
𨑎	辶 𰛄 
𨑹	辶 从 
𨑼	辶 𢆰 
𨑽	辶 丮 
𨑿	辶 凵 十 
𨒀	辶 𠚪 
𨒃	辶 半 
𨒄	辶 㕣 
𨒅	辶 只 
𨒆	辶 宂 
𨒇	辶 甲 
𨒈	辶 𡰥 
𨒉	辶 𠂔 
𨒊	辶 囚 
𨒋	辶 戉 
𨒌	辶 正 
𨒍	辶 卉 
𨒑	辶 巨 
𨒙	辶 石 
𨒜	辶 必 
𨒞	辶 出 
𨒤	辶 此 
𨒦	辶 印 
𨒧	辶 曳 
𨒨	辶 亥 
𨒩	辶 而 
𨒫	辶 羊 
𨒬	辶 至 
𨒮	辶 次 
𨒱	辶 共 
𨒲	辶 朱 
𨒴	辶 厽 
𨒼	辵 艮 
𨒽	辶 艸 
𨓁	辶 𢆶 
𨓇	辶 希 
𨓈	辶 𠯑 
𨓊	辶 𦔮 
𨓍	辶 𭙕 
𨓚	辶 兑 
𨓞	辶 㐬 
𨓠	辶 尸 巿 
𨓦	辶 里 
𨓨	辶 角 
𨓩	辶 广 火 
𨓬	辶 沓 
𨓭	辶 取 
𨓮	辶 㸒 
𨓯	辶 𣶒 
𨓰	辶 疌 
𨓲	辶 侃 
𨓳	辶 杳 
𨓴	辶 卸 
𨓷	辶 𡿱 
𨓿	辶 非 
𨔗	辶 咖 
𨔙	辶 大 石 
𨔛	辶 虎 
𨔡	辶 彐 𧰨 
𨔢	辶 𧈪 
𨔣	辶 枷 
𨔤	辶 𠡠 
𨔥	辶 𦘔 
𨔦	辶 壴 
𨔯	辶 日 氺 
𨔵	辶 彖 
𨕕	辶 𠫓 㠯 
𨕗	辶 飛 
𨕚	辶 囗 八 日 
𨕜	迷 乆 
𨕠	辶 窄 
𨕢	辶 畜 
𨕦	辶 宀 八 𠆢 夂 
𨕧	辶 𢆶 开 
𨕹	辶 桓 
𨕺	辶 大 言 
𨕻	辶 日 艮 
𨕽	辵 入 疌 
𨕿	辶 弓 土 王 
𨖃	辶 笏 
𨖊	辶 責 
𨖋	辶 寁 
𨖌	辶 羕 
𨖎	辶 笞 
𨖛	辶 𩁹 
𨖠	辶 𠂆 扁 
𨖢	辶 犭 玨 
𨖬	辶 笙 
𨖭	辶 崖 
𨖰	造 六 
𨖱	辶 牽 
𨖳	辶 淵 
𨖴	辶 無 
𨖵	辶 焦 
𨖶	辶 象 
𨖷	辶 筆 
𨖹	辶 𬛳 
𨖼	辶 丿 ⺫ 乑 
𨖾	辶 絲 
𨖿	辶 爲 
𨗓	辶 口 首 
𨗝	辵 矞 
𨗞	辶 屾 回 
𨗡	辶 竹 吉 
𨗥	辶 會 
𨗦	辶 僉 
𨗨	辶 葦 
